event_log_index,block_number,transaction_hash,asset_in,asset_out,from,to,amount_out,amount_in,protocol,metadata
61,21519318,0xfb8dfeedd713dfb1e9cc9f0499a7a7452559214ae97832348cef67aa316ad9a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x553afe6468949e0685959022217336717df5fbe8,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,148752500657391021717,500591194112,UniswapV2,"{""tick"":-194975,""liquidity"":""659348895083761888"",""squareRootPriceX96"":""4.626684901047086051844982e+24""}"
67,21519318,0x9f0a7d665d772b4d8d8c55c9269781139e26a6570e84540be65aa93d7001bdd7,0x553afe6468949e0685959022217336717df5fbe8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,383317931009,113519741900329317557,UniswapV2,"{""tick"":-195177,""liquidity"":""650117329602650985"",""squareRootPriceX96"":""4.580247655141669208523746e+24""}"
8,21519324,0xc4402ca832b4d1cfc07e2fac50a597701dd3a5d158310dc498d7080704e49750,0x009c1be34e50826f537f969e2a6f5236494e73da,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x00000000a991c429ee2ec6df19d40fe0c80088b8,214193089282048,809670256636198912,UniswapV2,null
13,21519324,0x08ad30a8cf82579812f26f2064a34108acceaf6b4576f4dcabc90fee6d0f9c90,0x009c1be34e50826f537f969e2a6f5236494e73da,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x00000000a991c429ee2ec6df19d40fe0c80088b8,214193089282048,809670256636198912,UniswapV2,null
18,21519324,0x79eb8dab1012a877bc16f6fbdbc0ca9bcbb1bd72ad4be5c4d38f433e0c97d263,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x009c1be34e50826f537f969e2a6f5236494e73da,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x00000000a991c429ee2ec6df19d40fe0c80088b8,813793747362906112,214193072504832,UniswapV2,null
91,21519332,0xf3bee0cf384ea717e5f5e75c45dbb9b02cf3ddb208eb5dbf98989cbed237b470,0x553afe6468949e0685959022217336717df5fbe8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,534637361409,162427775071585914670,UniswapV2,"{""tick"":-195482,""liquidity"":""588854967159576389"",""squareRootPriceX96"":""4.510981317228454269318599e+24""}"
95,21519332,0x830346a940e9ae3d25be31a031def86c3fae9b98e9bc982c38460a4b1022f8d6,0x553afe6468949e0685959022217336717df5fbe8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,534637361409,162427775071585914670,UniswapV2,"{""tick"":-195482,""liquidity"":""588854967159576389"",""squareRootPriceX96"":""4.510981317228454269318599e+24""}"
104,21519332,0x67f2dc336674385a68a066af216d4737c81197a049c9f46ca1377cf7f8f6ae78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x553afe6468949e0685959022217336717df5fbe8,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,162431531462821430928,534637361152,UniswapV2,"{""tick"":-195179,""liquidity"":""661256721313566745"",""squareRootPriceX96"":""4.579709719315145414946032e+24""}"
6,21519333,0xf53f69eb86daa419f74356f127479d25ba2e5669c7c561080b29e34cfcc041bf,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2025b2f4c7abe6dcb3843c62c32dfa14990a6269,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,879647339776573440,533431649523921321984,UniswapV2,null
10,21519333,0xbcf07b797e40c7e30abb60f653fbc8297bbf0ed5ab052c6655c335ab06ccf1f4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2025b2f4c7abe6dcb3843c62c32dfa14990a6269,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,879647339776573440,533431649523921321984,UniswapV2,null
16,21519333,0xc2cb2b03db2a4550d79272c238116a392e7672f6379a17cd493d8e72924056cc,0x2025b2f4c7abe6dcb3843c62c32dfa14990a6269,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,533447605636663607296,877261086011686912,UniswapV2,null
14,21519335,0x8708c74694e588afbbc2159376b313cc686c3bb02f923d10157e0fac68588eac,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x8abb7c18d713a477d345d92fcfccf26c1d971009,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,472512771280875814912,313980738338816000,UniswapV2,null
19,21519335,0xc636e96b592c40edbcebccd4ece893e488587e6eb36c04dbce8828e60f801a7c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x8abb7c18d713a477d345d92fcfccf26c1d971009,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,472512771280875814912,313980738338816000,UniswapV2,null
24,21519335,0x1f200f3e6793a818478b6e8b713c5da975153341cc04e0e7f1d138defefeffc4,0x8abb7c18d713a477d345d92fcfccf26c1d971009,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,321337927122550784,472512770181364187136,UniswapV2,null
42,21519337,0xd2a5313099ba90b0efbd556182f8e8b3feda6dc21b25a360501e339d776b1ff4,0xce9dcc28791a98edfd4175a7d55da9f86c560199,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,402515493388288,33939009797357568,UniswapV2,null
47,21519337,0x644090913e244cda7bf78f27f880a2edf3c5687911688e107aa904dd8784c5e5,0xce9dcc28791a98edfd4175a7d55da9f86c560199,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,402515493388288,33939009797357568,UniswapV2,null
53,21519337,0x89c0669fc8a36472205a8f9b4a47b863a185a53e06e9a2e6ba15f4ff3266b752,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xce9dcc28791a98edfd4175a7d55da9f86c560199,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,35752173191036928,402515476611072,UniswapV2,null
14,21519340,0x93e18c351fa79d3785cb491649b3766a72748002e9578c9a59c357a90c2bf965,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa71d0588eaf47f12b13cf8ec750430d21df04974,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,757275836883620653202581487616,1024884048301916160,UniswapV2,null
20,21519340,0xcab1e5fdd757f478270b01acd44cb02d01b774a5b89b9e0366e924a6a6651275,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa71d0588eaf47f12b13cf8ec750430d21df04974,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,757275836883620653202581487616,1024884048301916160,UniswapV2,null
24,21519340,0x7862284a6fd5d78d07da4f9d5ed47facce57a7b2de7bd8e2ea1f0be10faa60e7,0xa71d0588eaf47f12b13cf8ec750430d21df04974,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,1026717930617831424,757275832161254170332936273920,UniswapV2,null
3,21519343,0x3d4a3b07fc335d2a2a0b5771d6f3cec792b9b20196364773eb9ed153d5f4106c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x009c1be34e50826f537f969e2a6f5236494e73da,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,1608320755810959360,394409430482944,UniswapV2,null
8,21519343,0x901288e4d77f2162453ebcef8ff00651694c8b7ffb5569561fc171836df6ae9d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x009c1be34e50826f537f969e2a6f5236494e73da,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,1608320755810959360,394409430482944,UniswapV2,null
35,21519343,0xf83166aa6271fadc5619a1e8030a42492a92a14cefaf973e35e9c8ff9750d959,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x009c1be34e50826f537f969e2a6f5236494e73da,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,1608320755810959360,394409430482944,UniswapV2,null
14,21519343,0xee8b20c8b1fc0a1a446c64ec9432e0a310dd747218e759c1162cd1c8aef1be78,0x009c1be34e50826f537f969e2a6f5236494e73da,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,394503668105216,1583048708679794688,UniswapV2,null
3,21519351,0x6928b40c321941b27b12d15820bc55e0aab0b822cb57c92577cce9347712901b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5200b34e6a519f289f5258de4554ebd3db12e822,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,190694009616728064,299279596786810880,UniswapV2,null
16,21519351,0x736043ca6dc2568e1a6825a8cf1301e934567f251d2ce01dc37661147320b311,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5200b34e6a519f289f5258de4554ebd3db12e822,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,190694009616728064,299279596786810880,UniswapV2,null
52,21519351,0x784aee3cffd60102cd9ba85d6244b84539813e6d56c7e58528f27f832d874724,0x5200b34e6a519f289f5258de4554ebd3db12e822,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,306496258535587840,190694005321760768,UniswapV2,null
7,21519351,0x6928b40c321941b27b12d15820bc55e0aab0b822cb57c92577cce9347712901b,0xe67b191ca357085f3dee2faf1790b0ff3d51a8a4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,665222743816547598336,94497157482020864,UniswapV2,null
22,21519351,0x2b9d14444daa9fafe2778275d0d2468dcb01d960394c4e2af025563d28182954,0xe67b191ca357085f3dee2faf1790b0ff3d51a8a4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,665222743816547598336,94497157482020864,UniswapV2,null
56,21519351,0x784aee3cffd60102cd9ba85d6244b84539813e6d56c7e58528f27f832d874724,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe67b191ca357085f3dee2faf1790b0ff3d51a8a4,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,96941165672136704,665222742717035970560,UniswapV2,null
11,21519351,0x6928b40c321941b27b12d15820bc55e0aab0b822cb57c92577cce9347712901b,0xd4f4d0a10bcae123bb6655e8fe93a30d01eebd04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,47097206276096,219038727891058688,UniswapV2,null
46,21519351,0x003814b260fd0e8bbdcd6f50fd96602bb7635cd422163a47304ed13497b6dbea,0xd4f4d0a10bcae123bb6655e8fe93a30d01eebd04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,47097206276096,219038727891058688,UniswapV2,null
87,21519351,0x8ad140d0e789bc52a35bce04ee21e7356a71648efeed7aee315a758b5defc0af,0xd4f4d0a10bcae123bb6655e8fe93a30d01eebd04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,47097206276096,219038727891058688,UniswapV2,null
60,21519351,0x784aee3cffd60102cd9ba85d6244b84539813e6d56c7e58528f27f832d874724,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4f4d0a10bcae123bb6655e8fe93a30d01eebd04,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,220047774622679040,47097206210560,UniswapV2,null
8,21519356,0xd8d294703e916602151ce7ce7d61d4c009f9c743846b6539799044d553717865,0xb12907dcd65e09871bbd6f1659436f3be310af65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,49424811282548129792,165685291963,UniswapV2,"{""tick"":195094,""liquidity"":""540328965203037572"",""squareRootPriceX96"":""1.364840357683607091521375141249814e+33""}"
