transaction_hash,block_number,arbitrager,protocols,profit_raw,cost_in_usd,profit_amount_in_usd,flash_loan_asset,flash_loan_amount,flash_loan_in_usd
0x0a8a6725497dbe254531a93a2983b7ee662f69428cdf6eb3529f4b39fb829853,21519426,0x807cf9a772d5a3f9cefbc1192e939d62f0d9bd38,{},"[{""address"":""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"",""amount"":8660024}]",5.7506234402804335,7998.160815455221,,,
0x22375c1bf5c256cc0e4eabc7f66bdc57a0202c8317d183152d0da296f2161055,21519426,0x1510c5a15e840ad783b593933e5c72527ce22aec,{UniswapV3},"[{""address"":""0x675b68aa4d9c2d3bb3f0397048e62e6b7192079c"",""amount"":7829758162271}]",5.739700876727643,569.5011904626961,,,
0x794d68e8cfd9ddb257de5790df05636ac519f303df96ed6ca33a385ec207fea4,21519427,0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""40132162019489066678""}]",3.938211031968841,134891.97138870737,,,
0x17b89a3f87da064d4bf7ced713bc608639cc7358d8c1cd1d5f1010234f0cbb7d,21519428,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""2328825793402387""}]",6.781278195343138,1.046584991987559,,,
0xa3f4b26cc9ee9007899c5135a452d9b9d56a6625dea9531b011a6cd9eed29b69,21519428,0x970d9b907943909d3f5829c9f1bf000592f2e6d0,{},"[{""address"":""0xb753428af26e81097e7fd17f40c88aaa3e04902c"",""amount"":""6715803777112555929""}]",3.143908568129835,163.10539080843242,,,
0xe0cf284a2ebfc105233b0c4af254d87ae6bc670c862bb478e48d7d3b52e6bce1,21519428,0x972b0f9cde1266e860e546ac92e783741769400f,{},"[{""address"":""0x35d8949372d46b7a3d5a56006ae77b215fc69bc0"",""amount"":""3.28840076772738626777289e+23""}]",4.319731197763225,328264.3542643302,,,
0xf12b653a580d1e1352a90bde4e6e0919e4d5763b593ff67603f41527e8d5740e,21519428,0xf7ca73fb04abc558944615dbc6ae6f56e3b4c6e0,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""7025912235526602""}]",2.2470624879600645,21.36907913229559,,,
0x739a56b9720d91f9fb3af1660de20972d59e6d3fbe999b3ca08e053302935892,21519429,0xbf7ee384f4cc4c0fa8cdff33b8d2ec4066d307f9,{},"[{""address"":""0x0f2d719407fdbeff09d87557abb7232601fd9f29"",""amount"":""1.2489512972023918287529e+22""}]",5.398698636858866,7777.112823199168,,,
0x50da6ba4f80224200ce73391784e5a95519803e9a8785c494a907448c8b5c603,21519430,0x1f2f10d1c40777ae1da742455c65828ff36df387,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":324123985182720}]",1.7653419890921278,-0.6758666754251843,,,
0xfafb7e94a4bf2474ac8b6e2078147cfe3e96097452f846dc43e1025c64a6dd05,21519430,0x1f2f10d1c40777ae1da742455c65828ff36df387,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""9103887558508545""}]",29.766504994768606,0.8343181680198519,,,
0x342e61dac64ad9da2173c88019f9a21f50e2e7e67dcef85e60a96b108962d42f,21519431,0x1f2f10d1c40777ae1da742455c65828ff36df387,{},"[{""address"":""0x66761fa41377003622aee3c7675fc7b5c1c2fac5"",""amount"":""6.350258714802237997056e+21""}]",2.155338094929509,2782.4529554444393,,,
0xe2c4544fe39b59b53afbe26d8618bd0a2fa376ce8823157eeacb73558646e4d2,21519431,0x1f2f10d1c40777ae1da742455c65828ff36df387,{},"[{""address"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""amount"":2833206403}]",12.869868128613765,2821.663336479416,,,
0x7f97cbab039498c4aef57fe2b89536bcc368e3586056829ee5d2e8ea547a8c3a,21519433,0xea8cf32e4ac03acab2babb9028bac5c853e0ce80,{},"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""20015788844908544""}]",66.6055491428765,0.6733590126086426,,,
0x9eaf00d2b57635c13c57097b523000f989b51aa7e33ee4049961d8e702007332,21519434,0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,{},"[{""address"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""amount"":56489035880}]",14.666739441406,56500.823176368445,,,
