transaction_hash,block_number,sandwich_id,transaction_log_index,type,sandwicher,victim,profit_raw,profit_amount_in_usd,cost_in_usd,protocols
0xc2800f6c9e0b4818d18e1f6c5ccd0d082a5bc53819b1f58eec558c06fbc0f911,21519261,0x1bdadfc89ff18aa1844bfd2d3f4b696feff92666de236d579d44c3fbfa948978,0,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""38929670746006991"",""additionalAmount"":-1573233747407}]",130.85398546808304,130.72297108227065,{UniswapV3}
0x14182bb168e97a1835e6b2b25ad6da49ad537e63bfb23519810116320c06cf12,21519261,0x1bdadfc89ff18aa1844bfd2d3f4b696feff92666de236d579d44c3fbfa948978,2,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""38929670746006991"",""additionalAmount"":-1573233747407}]",130.85398546808304,130.72297108227065,{UniswapV3}
0x3bcbc0012a13749edb890bf4de721564eafb1677e19dec1a9ed045650cb2fa2f,21519261,0x1bdadfc89ff18aa1844bfd2d3f4b696feff92666de236d579d44c3fbfa948978,3,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""38929670746006991"",""additionalAmount"":-1573233747407}]",130.85398546808304,130.72297108227065,{UniswapV3}
0xb296330d94e5ab4f24ce213e91e59a4c0b3e426da0009a79c335734bca7c09ff,21519267,0xf8b61577472470342fa932926d946e5243164e67054ab91d901306f3c44998b9,0,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xdac17f958d2ee523a2206206994597c13d831ec7"",""amount"":578869330945,""additionalAmount"":-576453161216}]",577996.5077736028,2511.4698137597507,{UniswapV3}
0x68200e8fe378d47f3b5256223f19d39d32bc1dffa7a02c65986c28e2128a1fbc,21519267,0xf8b61577472470342fa932926d946e5243164e67054ab91d901306f3c44998b9,1,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xdac17f958d2ee523a2206206994597c13d831ec7"",""amount"":578869330945,""additionalAmount"":-576453161216}]",577996.5077736028,2511.4698137597507,{UniswapV3}
0x45efe376a1a86dd298b663abc7fbf7b6f1fc5c4c0e58199332a2ce97eb5d1a4d,21519267,0xf8b61577472470342fa932926d946e5243164e67054ab91d901306f3c44998b9,4,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xdac17f958d2ee523a2206206994597c13d831ec7"",""amount"":578869330945,""additionalAmount"":-576453161216}]",577996.5077736028,2511.4698137597507,{UniswapV3}
0x6aac53f329ba11d5b0378ed224b9f359d578e2f805948489824b8122085d742d,21519267,0xc9b77b0b3588c66e9484f04a5cab1a0817f37d5a6fd882228cd51d3f6040872d,2,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xdac17f958d2ee523a2206206994597c13d831ec7"",""amount"":578869330945,""additionalAmount"":-576453161216}]",577996.5077736028,2511.4698137597507,{UniswapV3}
0x56db6cc0889fe0093869d1365bbf7c5b1acfc62ee92e712dc707f12d035a5b15,21519267,0x6a3dc2c737d3fbc4adcd518cc777064ee236e9f75cfbe9e335e5e067074c315e,3,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xdac17f958d2ee523a2206206994597c13d831ec7"",""amount"":578869330945,""additionalAmount"":-576453161216}]",577996.5077736028,2511.4698137597507,{UniswapV3}
0x47285261ea0c0ff0d0284e246153e2168da47129a94b08350098ecdbb573cbb5,21519269,0xa267940fff43a1dbc8864a67aad9d511e7c117a59abcf28a3a67bc30c4da3e0c,0,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""82411395513057280"",""additionalAmount"":""-66149197631455232""}]",277.0087530723886,61.79245243719005,{SushiSwap}
0xbbfff67130df3d7b39fe0a72e58a840180d8d4927ada1e1462887c2affa1d1df,21519269,0xa267940fff43a1dbc8864a67aad9d511e7c117a59abcf28a3a67bc30c4da3e0c,1,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""82411395513057280"",""additionalAmount"":""-66149197631455232""}]",277.0087530723886,61.79245243719005,{SushiSwap}
